"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestUserAPI","","","test_user_creation_data_driven[user_data2]","Test user creation with different data sets."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","1","tests.unit","test_helpers_unit","TestGenerateRandomString","","","test_zero_length","Test zero length string."
"passed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","6","tests.component","test_factories_component","TestUserFactoryComponent","","","test_create_users_batch","Test creating multiple users in batch."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests","test_allure_example","TestAllureExample","","","Simple passing test","This test demonstrates basic Allure reporting with a simple assertion."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_smoke_marker","Test that smoke marker works."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestDeepMergeDicts","","","test_merge_simple_dicts","Test merging simple dictionaries."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","1","tests","test_regression","TestAutomationFrameworkRegression","","","Test API client configuration methods","Verify API client configuration methods work correctly."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests","test_allure_example","TestAllureExample","","","Test that will be categorized","This test demonstrates how tests are categorized in Allure reports."
"passed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_factories_component","TestProductFactoryComponent","","","test_create_products_batch","Test creating multiple products in batch."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests","test_allure_example","TestAllureExample","","","Test with custom pytest markers","This test demonstrates custom pytest markers with Allure."
"failed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestValidatePhone","","","test_valid_phones","Test valid phone numbers."
"failed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.integration","test_api_examples","TestGraphQLAPI","","","test_graphql_query_with_variables","Test GraphQL query with variables."
"skipped","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestAPIPerformance","","","test_concurrent_user_creation","Test concurrent user creation performance."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","1","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_pytest_working","Test that pytest is working correctly."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","2","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_user_factory","Test that UserFactory works."
"passed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.e2e","test_user_registration_e2e","TestUserRegistrationE2E","","","test_user_registration_with_validation_errors","Test user registration with validation errors."
"passed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.component","test_api_client_component","TestAPIClientComponent","","","test_request_error_handling","Test request error handling with mocked error response."
"broken","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestValidateEmail","","","test_email_edge_cases","Test email validation edge cases."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","1","tests","test_allure_example","TestAllureExample","","","Parameterized test","This test demonstrates parameterized testing with Allure."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_unit_marker","Test that unit marker works."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.component","test_api_client_component","TestAPIClientComponent","","","test_post_request_success","Test successful POST request with mocked response."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestFlattenDict","","","test_flatten_deeply_nested_dict","Test flattening deeply nested dictionary."
"failed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestValidateEmail","","","test_valid_emails","Test valid email addresses."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_factories_component","TestFactoryIntegration","","","test_user_and_order_integration","Test that user and order factories work together."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestFlattenDict","","","test_flatten_simple_dict","Test flattening simple dictionary."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_api_client_component","TestAPIClientComponent","","","test_get_request_success","Test successful GET request with mocked response."
"failed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","5","tests.integration","test_api_examples","TestProductAPI","","","test_bulk_product_creation","Test creating multiple products efficiently."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.component","test_api_client_component","TestAPIClientComponent","","","test_clear_authentication","Test clearing authentication."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_api_client_component","TestAPIClientComponent","","","test_put_request_success","Test successful PUT request with mocked response."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestProductAPI","","","test_get_product_by_id","Test retrieving a specific product."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestUserAPI","","","test_get_user","Test retrieving user information."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_factories_component","TestProductFactoryComponent","","","test_product_serialization","Test product serialization to dictionary."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests","test_allure_example","TestAllureSuite","","","Suite setup test","This test demonstrates suite-level setup."
